player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Avesh Khan,16,16,61,450,24,3/13,18.75,7.37,15.25,0,0
Axar Patel,12,12,46,306,15,4/21,20.40,6.65,18.40,0,0
Ishant Sharma,3,3,12,97,1,5/12,97.00,8.08,72.00,0,0
Lukman MeriwalaDC,1,1,3,32,1,1/32,32.00,10.66,18.00,0,0
Kagiso Rabada,15,15,56,456,15,4/21,30.40,8.14,22.40,0,0
Anrich Nortje,8,8,30,187,12,3/33,15.58,6.16,15.16,0,0
Ravichandran Ashwin,13,13,44,331,7,4/34,47.28,7.41,38.28,0,0
Amit Mishra,4,4,14,109,6,5/17,18.16,7.78,14.00,1,0
Chris Woakes,3,3,11,82,5,3/36,16.40,7.45,13.20,0,0
Lalit Yadav,7,5,14,101,4,2/13,25.25,7.21,21.00,0,0
Tom Curran,3,3,11,104,4,3/29,26.00,9.17,17.00,0,0
Marcus Stoinis,10,8,11,117,2,4/15,58.50,10.47,33.50,0,0
Ishant Sharma,3,3,12,97,1,5/12,97.00,8.08,72.00,0,0
Lukman Meriwala,1,1,3,32,1,1/32,32.00,10.66,18.00,0,0
